Video ID, Number of times played 
jDwVkXVHIqg, 253 
mXnJqYwebF8, 239 
6rrptmFiEhQ, 70 
82VtBxeJH3I, 69 
AEtbFm_CjE0, 66 
Piri3TFobLw, 59 
gM4S9lPyUUA, 54 
dQw4w9WgXcQ, 54 
zMWSxxUmuBo, 54 
5SqZJgZ8niA, 51 
wrdK57qgNqA, 46 
2RtI5UEZlzU, 41 
RySHDUU2juM, 40 
AEB6ibtdPZc, 38 
kSgMDNe-pT0, 37 
wav6nalMRog, 37 
FACKOZkzSWE, 36 
V-XZcgDkO9o, 34 
Wof0xPUmW38, 34 
U9t-slLl30E, 33 
6Gd87JmkAkE, 31 
JKUvWE-doNM, 31 
oT3mCybbhf0, 30 
KVywF8KXdwI, 29 
W3q8Od5qJio, 28 
k1BneeJTDcU, 28 
eK3dIEeAThE, 27 
40zv9ACT5EM, 27 
pd9jg7MpVac, 27 
9_EVz2GBN3E, 26 
jO36Trj3cC8, 26 
v_ici9SWJ-Y, 25 
kfVsfOSbJY0, 25 
fU7hZ3smj0g, 24 
4csSO4vqWR4, 24 
c7ZTnJVJUME, 24 
ADlGkXAz1D0, 23 
kVHZ6yVOkUE, 23 
c6veG0kfbZE, 22 
LIPc1cfS-oQ, 22 
Sp-wwi9j-2U, 22 
M8-vje-bq9c, 22 
B09ILbYUTPE, 22 
K6BRna4_bmg, 22 
ZZ5LpwO-An4, 22 
fcH8RpftRXU, 22 
bPAFTL1E3rc, 22 
Ix2hqdqWIKs, 21 
CSvFpBOe8eY, 21 
XtAhISkoJZc, 21 
-705T4FioZE, 21 
YIALlhlyqO4, 20 
5vBGOrI6yBk, 20 
vRXZj0DzXIA, 20 
A3eldiyhWVc, 20 
nisx5h_KNm4, 19 
XwqBwI9XmdE, 19 
eBG7P-K-r1Y, 19 
o0u4M6vppCI, 19 
ovBZk3WBtqk, 19 
xat1GVnl8-k, 19 
6Dedl5cVMv0, 19 
5G_J-dj98XY, 19 
s1UBkJBAfOc, 19 
rOnMZALLQPk, 19 
-v_2iMNPfP0, 18 
DLF2m10EswI, 18 
fPO76Jlnz6c, 18 
XXlZfc1TrD0, 18 
mRVTin1UHZQ, 18 
7DYjfjaZGas, 18 
w0AOGeqOnFY, 18 
yxW5yuzVi8w, 18 
BSz1j_y35ro, 18 
NkRkuI0ZgX0, 18 
8-rj3gVOAnM, 18 
pzPElFdxMCM, 18 
mDlnM481Gcg, 18 
p0rXznBDfJM, 18 
WeYsTmIzjkw, 17 
d-diB65scQU, 17 
vTIIMJ9tUc8, 17 
C-u5WLJ9Yk4, 17 
K5tVbVu9Mkg, 17 
0OmRrFD8zJk, 17 
5XK4v2fgMPU, 17 
3BwzP1laWkQ, 17 
Vn8phH0k5HI, 16 
1wl5BbUg05M, 16 
Ya5Fv6VTLYM, 16 
I_2D8Eo15wE, 16 
9EcjWd-O4jI, 16 
v1zTq3_uiUU, 16 
_-PGng_QT2M, 16 
_lK4cX5xGiQ, 16 
ql9-82oV2JE, 16 
c_89Vfg8quQ, 16 
MFnaCtZrKVQ, 16 
Vtk5LuFUWj8, 16 
yPYZpwSpKmA, 15 
waMzdZBhmc8, 15 
v4xZUr0BEfE, 15 
2vjPBrBU-TM, 15 
FTQbiNvZqaY, 15 
z5rRZdiu1UE, 15 
Zen_zRmbKaM, 15 
B9FzVhw8_bY, 15 
StYkb5kbM3o, 15 
TQMBzIJyYSQ, 15 
JmbKYlKXXeg, 15 
aIh1Es0Ttm4, 15 
LrnyBAfmPDQ, 15 
k3Yk6FrjMkQ, 14 
0sfNAhin1yI, 14 
8UVNT4wvIGY, 14 
YVkUvmDQ3HY, 14 
ZkW-K5RQdzo, 14 
iMUezhpuEoE, 14 
m00GvZzRCb4, 14 
16EmCCKsmWQ, 14 
8qMhoGmyfN8, 14 
N9zcyGMFGMg, 14 
_CL6n0FJZpk, 13 
tvVeTaxXNVU, 13 
RKW6rjnYEkc, 13 
109WLnpYkqE, 13 
SYM-RJwSGQ8, 13 
yM2Y_znsonI, 13 
CAyWN9ba9J8, 13 
4v3-sDgdMVU, 13 
pxlVlQGE4To, 13 
u9Dg-g7t2l4, 13 
-RnrVrroIE0, 13 
iywaBOMvYLI, 13 
KCzwyFHSMdY, 13 
o2rEFW6YKRM, 13 
r-SurvChGFk, 13 
rHMvfpNgMMw, 13 
_Re6pZri8Gw, 13 
j9tXMXbSVnw, 13 
gKkzdVW0E3o, 13 
uESXKBkqOvY, 13 
ym0rt69zp_E, 13 
jtYOrppgGdg, 13 
QDYDRA5JPLE, 12 
IizbzoHGZVE, 12 
EK_LN3XEcnw, 12 
qeMFqkcPYcg, 12 
TctLwUA7-f0, 12 
1V_xRb0x9aw, 12 
uT3SBzmDxGk, 12 
5qap5aO4i9A, 12 
dI3xkL7qUAc, 12 
izGwDsrQ1eQ, 12 
PWgvGjAhvIw, 12 
8AHCfZTRGiI, 12 
HMUDVMiITOU, 12 
DtL_giO-EB8, 12 
enYdAxVcNZA, 12 
btPJPFnesV4, 12 
Fn6S9NTpPvk, 12 
JXgV1rXUoME, 12 
LOPCPUq9f_g, 12 
J7UwSVsiwzI, 12 
Sff7Kc77QAY, 12 
CvI5oy25QO4, 12 
NeQM1c-XCDc, 12 
rxZG5PCoa4s, 12 
HyHNuVaZJ-k, 12 
bOmWSMJDZho, 12 
1NV7GlM42Pg, 12 
johHLyIUABg, 12 
rLJSMn5Mc2U, 12 
oPpogGUb0oo, 12 
mwuOAPJyVPo, 12 
_hlYtbKprE0, 12 
wXKKlNoNdQY, 11 
0NKUpo_xKyQ, 11 
ibFkJwomL_4, 11 
l_MyUGq7pgs, 11 
ytN0LP1NSxg, 11 
ApXoWvfEYVU, 11 
16y1AkoZkmQ, 11 
4N1iwQxiHrs, 11 
Ysf4QRrcLGM, 11 
djV11Xbc914, 11 
E8gmARGvPlI, 11 
BSzSn-PRdtI, 11 
WIKqgE4BwAY, 11 
dNCWe_6HAM8, 11 
NGkeLbx_4E4, 11 
QRg_8NNPTD8, 11 
PlHGY6vSs8g, 11 
UreGzCf6Je0, 11 
gGdGFtwCNBE, 11 
R-FxmoVM7X4, 11 
SsKT0s5J8ko, 11 
8j9ZSiWVqZc, 11 
49tpIMDy9BE, 11 
K5KAc5CoCuk, 11 
ezoIVSLbEK4, 11 
zi_2mjo-6JI, 11 
QjL7D33xpS4, 11 
KT85z_tGZro, 11 
6FJXjJeOU6Q, 11 
Vnoz5uBEWOA, 11 
R9RHjcM5c6Q, 11 
pelpK-HEcJM, 11 
l-uApRaHn-k, 11 
-lEgNyJQ2is, 11 
yENmufztolo, 11 
uIn58jYIook, 11 
HyjFcMG7Sg4, 11 
dwGvhQ-Jhzw, 11 
paEZLHTDZvY, 11 
d03B3dnkrck, 11 
E4Ve-9vt_54, 10 
hC8CH0Z3L54, 10 
6NXnxTNIWkc, 10 
lTx3G6h2xyA, 10 
zhl-Cs1-sG4, 10 
FT-QptimxTQ, 10 
gJLIiF15wjQ, 10 
aAkMkVFwAoo, 10 
otCpCn0l4Wo, 10 
SQNtGoM3FVU, 10 
AQXVHITd1N4, 10 
pYdvxBxHX2U, 10 
FAFRfVR5MfM, 10 
qod03PVTLqk, 10 
EOuehxUen5U, 10 
ymNFyxvIdaM, 10 
P6mRIALF2Mk, 10 
LH5ay10RTGY, 10 
GVDJ8O3lPBA, 10 
rh3JgL4T7w0, 10 
xPU8OAjjS4k, 10 
q0hyYWKXF0Q, 10 
lOfZLb33uCg, 10 
wEbr5EoSEsc, 10 
L_jWHffIx5E, 10 
eT3BFzSD6YY, 10 
VfCYZ3pks48, 10 
4qDyv-urblY, 10 
cfLIlP-GAmg, 10 
kdA0mW-9jRs, 10 
_b3GBjVoxnQ, 10 
T5nfV3S7sqI, 10 
vJMP7RBsoms, 10 
Sj3Nk2iCseM, 10 
NlFEclBv-pw, 10 
9g08kucPQtE, 10 
eaIvk1cSyG8, 10 
3CvLBaGYntk, 10 
ujXBzf6KluU, 10 
29s1yU3nGkQ, 10 
e4JUXB2JTAU, 10 
lMu-ntyQJts, 10 
6Q2VIAQmUJM, 10 
A-sKPgGDF6M, 10 
jvipPYFebWc, 10 
WphQffikt-Q, 10 
Es1FtUBYneo, 10 
CBoLzMN0kPQ, 10 
8nBFqZppIF0, 10 
MmicmAW5V1k, 10 
vJAO4JEu9p4, 9 
5pMgCjosRRE, 9 
wCwNfu2q-N8, 9 
S2gQrNPWuqA, 9 
gG_dA32oH44, 9 
RZ-bZKc_KLA, 9 
2H5uWRjFsGc, 9 
PlBUH8zMZng, 9 
oGGCRHRW8cs, 9 
9_gkpYORQLU, 9 
iuFb3cB-LWk, 9 
8_1tInR59DQ, 9 
HEXWRTEbj1I, 9 
IvUU8joBb1Q, 9 
CIwI7Q1YDgs, 9 
fdixQDPA2h0, 9 
Tx9zMFodNtA, 9 
bB2BR41-Nyk, 9 
UbQgXeY_zi4, 9 
U6n2NcJ7rLc, 9 
a4eq_6J4Cuo, 9 
fJ9rUzIMcZQ, 9 
Lp71Y27ZWeA, 9 
U9T7ficcRtY, 9 
0lBjcaMokvo, 9 
N1w-hDiJ4dM, 9 
QKzobTCIRDw, 9 
6Gha9xrM10w, 9 
ZyhrYis509A, 9 
1plPyJdXKIY, 9 
EHC9HE7vazI, 9 
TErySTMbFlk, 9 
QrR_gm6RqCo, 9 
maAFcEU6atk, 9 
AXpDTv2ct5o, 9 
7yh9i0PAjck, 9 
nxg4C365LbQ, 9 
wHjJ8Vkfgko, 9 
aOQTccep1nU, 9 
PGNiXGX2nLU, 9 
V9O94UTDAJQ, 9 
dZLfasMPOU4, 9 
AkFqg5wAuFk, 9 
rog8ou-ZepE, 9 
JhOhGhq0e54, 9 
d_NS9Vd1sMA, 9 
e4Ao-iNPPUc, 9 
BS46C2z5lVE, 9 
U7-dxzp6Jvs, 9 
fD2d6dZHOHg, 9 
NL6CDFn2i3I, 9 
4QWRg-IS50o, 9 
cPAMKCeHKnU, 9 
